Country,Code,Year,polity,Size of Govt,Law & Prop.Rights,Sound Money,Export trade freedom,Regulations,Use of IMF credit (current USD) per capita,foreign net aid in USD per capita,GDP growth percent,GDP per capita in USD,Net secondary education enrollment,Gross tertiary education enrollment percent, Random seed
Thailand,THA,2011,7,7.30,5.14,7.04,6.88,6.80,22.27,-2.30,-0.74,5539.49,81.69,52.58,0.29
Malta,MLT,2005,10,5.85,7.68,8.99,8.55,6.67,0.00,0.00,0.13,14834.43,81.78,30.22,0.86
Moldova,MDA,2005,9,8.04,5.30,6.65,6.80,7.06,73.35,47.04,6.60,831.21,81.79,36.10,0.67
Netherlands,NLD,1990,10,4.94,8.35,9.64,8.81,6.05,0.00,0.00,3.44,21019.13,81.86,35.43,0.28
Portugal,PRT,2006,10,5.71,7.48,9.47,8.19,6.20,0.00,0.00,1.81,19821.44,81.87,55.60,0.37
Mongolia,MNG,2006,10,7.23,5.84,8.67,6.72,7.51,40.69,80.18,10.63,1334.41,81.88,47.53,0.92
Portugal,PRT,2000,10,5.51,7.64,9.51,8.97,6.40,0.00,0.00,4.79,11502.40,81.89,47.56,0.93
Turkey,TUR,2012,9,6.96,5.50,8.84,7.25,6.59,33.88,40.93,9.16,10646.04,82.11,69.39,0.43
Tajikistan,TJK,2010,-3,6.46,5.39,7.51,5.73,6.56,29.93,57.59,7.90,744.19,82.18,22.70,0.91
Greece,GRC,1995,10,5.23,6.69,7.34,7.86,4.87,0.00,0.00,-1.60,12871.30,82.23,36.83,0.99
Argentina,ARG,2009,8,6.25,4.34,7.03,6.41,5.82,0.00,3.11,7.97,9231.38,82.23,71.25,0.30
New Zealand,NZL,1985,10,3.54,7.88,6.17,7.31,6.57,0.00,0.00,3.49,7600.61,82.25,32.13,0.24
Kyrgyz Republic,KGZ,2004,-3,7.15,5.39,6.01,6.38,6.41,66.32,51.20,-0.02,433.24,82.27,40.68,0.16
Chile,CHL,2009,10,7.78,7.26,9.10,8.29,7.03,0.00,4.68,5.16,10217.31,82.32,59.01,0.94
Georgia,GEO,2008,6,6.28,5.58,9.08,8.70,7.63,155.55,202.65,9.38,2918.71,82.39,34.00,0.93
France,FRA,1990,9,3.53,7.73,9.69,7.82,6.42,0.00,0.00,4.73,21795.24,82.42,36.26,0.39
Kyrgyz Republic,KGZ,2013,7,7.03,4.73,8.27,6.67,6.95,58.26,93.82,5.96,1282.44,82.45,47.64,0.27
Ukraine,UKR,2005,6,6.46,5.09,4.88,6.20,6.42,64.94,8.74,9.40,1828.72,82.45,68.67,0.31
Iceland,ISL,2001,10,5.86,8.87,9.22,8.16,7.53,0.00,0.00,4.16,28516.05,82.49,47.64,0.71
Greece,GRC,2001,10,4.88,5.60,9.44,8.86,5.29,0.00,0.00,3.07,12435.56,82.60,58.73,0.52
Jordan,JOR,2005,-2,6.27,6.79,9.21,7.94,7.81,48.12,130.93,4.16,2326.50,82.66,39.70,0.18
Croatia,HRV,2000,8,4.03,7.58,7.88,6.10,6.16,0.00,14.80,1.86,4919.63,82.68,31.00,0.31
Mongolia,MNG,2005,10,7.58,5.28,8.31,6.80,7.43,41.44,86.92,7.00,998.82,82.74,44.66,0.08
Iceland,ISL,2000,10,6.07,9.03,9.18,8.25,7.69,0.00,0.00,6.52,31737.47,82.80,45.48,0.92
"Korea, South",KOR,1985,-5,6.24,4.16,6.41,5.43,5.65,0.00,-0.22,12.18,2542.04,82.82,31.59,0.84
Fiji,FJI,2012,-4,7.31,5.87,6.42,6.64,8.97,117.96,122.79,2.95,4550.27,82.99,,0.33
Switzerland,CHE,2011,10,7.75,8.56,9.33,7.22,8.26,0.00,0.00,-2.13,88002.61,83.01,54.34,0.92
Luxembourg,LUX,2005,10,4.35,8.09,9.47,8.47,7.61,0.00,0.00,1.40,79494.21,83.03,,0.01
Oman,OMN,2013,-8,4.61,7.35,7.95,7.96,8.18,0.00,0.00,-1.09,20011.35,83.04,,0.63
Switzerland,CHE,2003,10,7.58,8.42,9.59,8.99,8.11,0.00,0.00,1.45,47960.56,83.13,43.94,0.13
Switzerland,CHE,2002,10,7.87,8.17,9.71,9.07,8.17,0.00,0.00,3.95,41336.72,83.16,40.85,0.55
Tajikistan,TJK,2011,-3,6.42,5.43,7.88,5.96,6.54,31.76,44.82,3.80,841.22,83.17,22.01,0.62
Switzerland,CHE,2009,10,7.65,8.51,9.29,7.39,8.30,0.00,0.00,4.14,69672.00,83.34,49.97,0.18
Jamaica,JAM,2005,9,8.66,4.84,8.64,7.73,7.68,21.96,14.98,3.67,4238.32,83.39,20.19,0.21
Fiji,FJI,2004,6,6.67,6.22,6.48,5.91,8.38,13.20,80.11,3.20,3332.91,83.41,15.95,0.23
Jamaica,JAM,2004,9,8.68,5.01,8.69,7.62,7.74,24.29,31.37,2.00,3853.61,83.41,22.10,0.69
Greece,GRC,1990,10,4.81,6.76,6.89,6.60,4.66,0.00,0.00,4.29,9637.89,83.41,24.91,0.39
Switzerland,CHE,2010,10,7.71,8.55,9.39,7.37,8.18,0.00,0.00,2.28,74277.12,83.41,52.76,0.19
Ecuador,ECU,2013,5,5.18,4.47,6.79,7.09,6.42,28.35,9.44,7.87,6051.61,83.43,,0.06
Moldova,MDA,2008,9,7.37,6.38,7.22,7.09,6.72,97.33,83.52,4.80,1695.97,83.50,40.00,0.43
Luxembourg,LUX,2006,10,4.76,8.10,9.41,8.34,7.30,0.00,0.00,4.41,88680.24,83.50,10.33,0.85
Argentina,ARG,2010,8,6.53,4.31,6.59,6.30,5.67,0.00,2.94,3.07,11198.64,83.58,74.83,0.16
Latvia,LVA,2012,8,5.73,6.46,8.96,8.06,7.56,0.00,0.00,-3.78,13775.26,83.60,65.13,0.94
Oman,OMN,2012,-8,4.66,7.62,7.56,8.27,8.46,0.00,0.00,4.80,21533.81,83.63,,0.66
Switzerland,CHE,2004,10,7.58,8.44,9.63,8.61,8.27,0.00,0.00,0.14,53255.98,83.75,45.51,0.19
Australia,AUS,2007,10,6.85,8.41,9.50,7.54,8.43,0.00,0.00,3.21,40957.83,83.78,71.46,0.00
Croatia,HRV,2001,8,4.15,5.16,7.92,6.41,6.23,0.00,27.89,-0.94,5245.42,83.82,33.51,0.27
Australia,AUS,2006,10,6.77,8.43,9.46,7.50,8.39,0.00,0.00,4.15,36084.86,83.88,70.46,0.43
Luxembourg,LUX,2000,10,4.78,8.62,9.75,9.48,7.51,0.00,0.00,6.49,48992.31,83.94,9.81,0.84
Jordan,JOR,2002,-2,5.39,6.34,9.47,7.74,7.13,100.36,111.78,4.24,1901.58,83.94,30.85,0.27
Switzerland,CHE,2001,10,7.78,8.60,9.74,9.26,7.12,0.00,0.00,1.64,38538.64,83.95,39.68,0.22
Australia,AUS,2008,10,6.80,8.18,9.43,7.47,8.39,0.00,0.00,2.98,49628.12,83.96,71.83,0.38
Chile,CHL,2010,10,7.91,7.17,8.94,8.25,7.30,0.00,11.61,3.29,12785.05,83.97,65.93,0.50
Denmark,DNK,1985,10,3.14,7.88,6.51,8.04,6.28,0.00,0.00,2.65,12167.45,83.99,28.84,0.30
Luxembourg,LUX,2007,10,4.76,8.33,9.49,8.37,7.24,0.00,0.00,3.22,104841.44,84.02,,0.60
Armenia,ARM,2008,5,8.76,5.60,8.88,7.65,7.20,90.85,101.73,13.20,3919.98,84.03,46.58,0.14
Chile,CHL,2008,10,7.88,7.14,8.82,8.68,7.19,0.00,6.48,4.40,10791.02,84.03,54.86,0.59
Bahrain,BHR,2003,-7,6.52,6.00,8.78,8.69,7.41,0.00,173.02,2.49,14541.62,84.03,27.62,0.68
Chile,CHL,2012,10,8.00,7.09,8.87,8.03,7.22,0.00,7.18,5.75,15253.33,84.09,74.39,0.81
Bulgaria,BGR,2010,9,6.46,4.99,9.51,7.94,7.68,127.21,0.00,5.65,6752.55,84.15,57.99,0.73
Bulgaria,BGR,2009,9,6.73,5.00,9.44,7.69,7.83,128.64,0.00,7.68,6955.99,84.17,54.10,0.23
Switzerland,CHE,2008,10,7.59,8.50,9.40,7.33,8.11,0.00,0.00,4.01,72119.56,84.24,48.68,0.78
Fiji,FJI,2011,-4,7.88,5.88,6.47,6.52,8.97,118.76,91.07,-1.39,4351.92,84.30,,0.48
Ukraine,UKR,2006,7,6.56,5.11,5.35,6.18,6.52,59.85,10.33,12.10,2303.02,84.31,72.77,0.95
Sri Lanka,LKA,2010,3,7.08,5.25,6.55,6.91,6.68,92.96,28.07,5.95,2746.61,84.34,16.04,0.47
Switzerland,CHE,2000,10,7.75,9.27,9.70,9.47,7.61,0.00,0.00,2.94,37813.23,84.47,37.69,0.29
Estonia,EST,2001,9,5.97,6.53,9.20,9.15,7.10,0.00,49.55,-0.86,4498.96,84.49,60.38,0.31
Switzerland,CHE,2005,10,7.88,8.72,9.61,7.40,8.24,0.00,0.00,0.05,54797.55,84.49,45.72,0.83
Estonia,EST,2000,9,5.93,6.73,8.67,9.04,7.17,0.00,45.69,4.12,4070.03,84.51,56.35,1.00
Netherlands,NLD,1985,10,4.28,8.35,9.44,9.04,5.60,0.00,0.00,2.07,9799.44,84.53,30.81,0.59
Australia,AUS,2005,10,6.38,8.48,9.44,7.48,8.55,0.00,0.00,3.07,33982.95,84.53,71.24,0.44
Ukraine,UKR,2011,6,6.83,5.14,6.04,6.55,6.40,354.69,17.63,-14.80,3569.76,84.57,79.25,0.33
Switzerland,CHE,2007,10,7.91,8.71,9.77,7.38,8.11,0.00,0.00,3.04,63223.47,84.58,47.12,0.48
New Zealand,NZL,1990,10,5.30,8.35,8.64,8.85,8.18,0.00,0.00,-0.35,13663.03,84.58,39.37,0.96
Guyana,GUY,2009,6,4.81,4.53,7.94,7.03,7.51,259.24,230.90,7.02,2698.06,84.60,10.36,0.17
Chile,CHL,2007,10,7.95,7.07,9.15,8.65,7.26,0.00,6.37,5.56,10513.54,84.62,52.11,0.15
Chile,CHL,2011,10,8.00,7.16,8.88,8.16,7.48,0.00,9.53,-1.04,14582.17,84.68,70.52,0.68
Turkey,TUR,2011,9,7.07,5.53,8.98,7.24,6.51,61.77,43.57,-4.83,10584.16,84.69,60.68,0.45
Luxembourg,LUX,2008,10,4.79,8.47,9.43,8.31,7.22,0.00,0.00,5.11,112851.46,84.73,10.57,0.42
United States,USA,2002,10,7.05,8.03,9.80,8.46,8.62,0.00,0.00,4.09,38166.04,84.86,78.80,0.87
Ukraine,UKR,2007,7,6.75,5.24,5.16,6.30,6.09,53.76,9.04,2.70,3068.61,84.89,75.44,0.88
Sweden,SWE,1990,10,2.62,8.35,8.03,9.65,6.17,0.00,0.00,2.56,30162.32,84.89,30.69,0.83
Bahrain,BHR,2008,-7,6.58,6.82,9.09,7.76,8.59,0.00,0.00,6.47,23043.03,84.96,,0.79
Australia,AUS,2009,10,6.12,8.11,9.62,7.51,8.26,0.00,0.00,3.76,42715.13,84.96,75.63,0.72
Iceland,ISL,2002,10,5.46,8.97,9.30,7.89,7.49,0.00,0.00,4.72,31864.58,84.97,54.05,0.29
Switzerland,CHE,2006,10,7.97,8.72,9.56,7.38,8.12,0.00,0.00,2.84,57348.93,84.98,46.44,0.03
Bahrain,BHR,2002,-7,6.59,7.41,8.77,8.75,7.30,0.00,84.90,5.30,13279.05,85.00,,0.79
Jordan,JOR,2004,-2,5.31,6.06,9.40,7.53,7.66,68.80,113.99,5.79,2156.44,85.04,39.41,0.89
Greece,GRC,2003,10,6.65,5.61,9.61,8.68,6.04,0.00,0.00,3.84,18326.22,85.04,72.91,0.61
Bulgaria,BGR,2003,9,5.44,5.30,8.96,7.33,7.20,267.81,54.12,4.25,2693.76,85.05,41.52,0.53
Hungary,HUN,2000,10,6.35,7.01,7.16,7.68,7.19,0.00,24.70,4.21,4619.53,85.09,35.93,0.12
Ukraine,UKR,2009,7,6.41,4.79,5.32,6.69,6.14,282.86,14.47,7.90,2545.48,85.10,78.01,0.17
Argentina,ARG,2011,8,6.20,4.25,7.07,5.83,5.74,0.00,2.09,0.05,13392.92,85.12,78.63,0.53
Australia,AUS,2010,10,6.67,8.09,9.47,7.52,7.96,0.00,0.00,3.71,51845.65,85.18,79.77,0.91
Jordan,JOR,2003,-2,5.30,6.10,9.48,7.75,7.49,86.46,256.74,5.27,1973.86,85.20,34.69,0.57
Bulgaria,BGR,2011,9,7.14,5.03,9.32,7.59,7.84,127.63,0.00,-4.22,7750.04,85.25,59.63,0.11
Croatia,HRV,2002,8,4.85,5.15,7.78,6.86,6.57,0.00,32.14,3.77,6053.72,85.25,36.41,0.48
Ukraine,UKR,2008,7,6.87,5.09,4.61,6.58,6.18,145.40,13.36,7.30,3891.04,85.26,77.35,0.36
Australia,AUS,2012,10,6.67,7.77,9.51,7.71,7.68,0.00,0.00,2.02,67646.10,85.27,86.33,0.47
Ireland,IRL,1995,10,5.76,9.09,9.60,8.93,7.89,0.00,0.00,2.69,19179.98,85.27,38.21,0.28
Bulgaria,BGR,2012,9,6.99,4.98,9.47,7.57,7.92,128.51,0.00,0.05,7333.36,85.29,62.70,0.82
Bulgaria,BGR,2008,9,6.91,4.98,8.74,7.68,7.68,125.58,0.00,6.75,7296.12,85.31,51.35,0.50
United States,USA,2000,10,7.03,9.23,9.78,8.80,8.43,0.00,0.00,4.45,36449.86,85.31,67.85,0.28
Bahrain,BHR,2004,-7,6.80,5.46,8.72,8.27,7.12,0.00,72.06,3.61,16275.18,85.36,,0.93
Greece,GRC,2002,10,5.22,5.66,9.54,8.61,6.04,0.00,0.00,4.21,14005.36,85.38,66.66,0.27
Egypt,EGY,2013,-4,6.94,4.23,8.92,6.45,5.16,15.79,62.84,1.82,3104.22,85.39,32.93,0.38
Fiji,FJI,2006,-3,7.49,6.22,6.56,6.59,8.81,12.65,67.26,5.30,3750.03,85.40,,0.08
Sri Lanka,LKA,2011,3,7.84,5.34,6.46,6.93,6.68,111.42,29.11,3.54,3128.69,85.41,15.02,0.96
Latvia,LVA,2011,8,5.70,6.45,8.98,8.04,7.22,0.00,0.00,-14.35,13781.21,85.43,67.28,0.75
Armenia,ARM,2005,5,7.75,5.56,9.21,7.08,6.95,100.22,56.50,14.04,1625.41,85.60,38.37,0.28
Australia,AUS,2011,10,6.70,8.01,9.41,7.66,7.85,0.00,0.00,1.82,62216.55,85.61,83.24,0.73
Ukraine,UKR,2012,6,6.70,4.98,6.42,6.70,6.73,280.63,16.87,4.20,3855.42,85.65,79.70,0.88
Luxembourg,LUX,2012,10,4.03,8.21,9.26,8.13,7.37,0.00,0.00,5.68,105447.09,85.65,19.74,0.62
Belgium,BEL,2005,10,4.34,6.97,9.53,8.27,7.96,0.00,0.00,0.77,36967.28,85.67,61.99,0.82
Azerbaijan,AZE,2007,-7,4.54,6.38,6.71,6.31,6.72,40.28,26.24,26.40,3851.44,85.68,19.36,0.69
Australia,AUS,2013,10,6.72,7.87,9.25,7.57,7.75,0.00,0.00,2.38,67627.77,85.68,88.51,0.20
Australia,AUS,2004,10,6.14,8.23,9.36,7.92,8.39,0.00,0.00,3.86,30440.85,85.68,70.54,0.97
Ukraine,UKR,2010,6,6.62,4.79,5.60,6.56,6.12,354.52,13.66,2.30,2974.00,85.83,76.66,0.80
Belgium,BEL,2004,10,4.31,6.69,9.61,8.81,7.94,0.00,0.00,1.78,35589.71,85.84,61.74,0.41
Australia,AUS,2003,10,6.17,8.45,9.28,8.04,8.27,0.00,0.00,1.93,23440.01,85.87,71.99,0.59
Norway,NOR,1985,10,3.25,8.11,6.45,8.11,6.01,0.00,0.00,3.97,15753.55,85.93,29.81,0.37
Jordan,JOR,2006,-2,6.03,6.84,8.94,7.84,7.98,33.18,103.43,8.56,2719.82,85.99,39.80,0.41
Azerbaijan,AZE,2006,-7,5.00,5.81,7.59,5.94,6.26,43.05,24.33,10.20,2473.09,86.02,19.79,0.68
Azerbaijan,AZE,2010,-7,4.34,5.97,6.25,6.48,6.99,31.18,17.57,10.77,5842.81,86.03,19.26,0.82
Azerbaijan,AZE,2011,-7,4.96,6.05,6.45,6.54,6.93,28.85,31.23,9.41,7189.69,86.07,19.65,0.73
Oman,OMN,2009,-8,5.42,7.64,7.34,8.00,8.38,0.00,52.31,4.45,17518.83,86.08,24.16,0.05
Bulgaria,BGR,2000,8,4.51,5.41,3.23,7.52,6.37,259.22,37.59,3.50,1609.28,86.24,44.49,0.19
United States,USA,2001,10,7.10,8.66,9.73,8.70,7.99,0.00,0.00,4.69,37273.62,86.24,68.62,0.37
Bulgaria,BGR,2007,9,6.46,5.05,8.62,7.78,7.72,127.94,0.00,7.24,5932.90,86.30,49.53,0.04
Ukraine,UKR,2004,6,5.31,5.03,5.12,6.26,5.88,76.69,7.92,5.20,1367.35,86.36,64.86,0.65
Bulgaria,BGR,2004,9,5.74,5.21,8.70,7.28,7.13,274.00,81.83,6.02,3353.56,86.43,41.94,0.68
Luxembourg,LUX,2011,10,3.94,8.25,9.37,8.24,7.33,0.00,0.00,-5.38,113239.56,86.47,,0.72
Luxembourg,LUX,2010,10,4.03,8.29,9.35,8.38,7.26,0.00,0.00,-0.84,103267.28,86.49,18.21,0.96
Ukraine,UKR,2002,6,4.79,4.57,4.79,6.58,6.22,75.85,9.87,5.90,879.48,86.56,56.48,0.48
Iceland,ISL,2003,10,5.61,8.86,9.28,8.04,8.37,0.00,0.00,3.76,39019.69,86.57,62.16,0.73
Bahrain,BHR,2009,-7,6.57,6.76,8.26,7.92,8.57,0.00,0.00,8.29,19166.71,86.58,,0.59
Latvia,LVA,2010,8,5.22,6.40,8.93,8.05,7.11,0.00,0.00,-3.60,11319.52,86.61,70.55,0.78
Bulgaria,BGR,2006,9,6.45,5.24,8.76,7.62,7.42,163.65,0.00,6.56,4455.69,86.65,45.82,0.68
Kuwait,KWT,2007,-7,6.77,7.35,8.49,7.50,8.07,0.00,0.00,10.08,45159.34,86.68,,0.40
Denmark,DNK,1995,10,3.07,9.09,9.77,9.13,7.57,0.00,0.00,-0.09,35351.38,86.77,45.48,0.85
Azerbaijan,AZE,2009,-7,4.62,5.94,6.58,6.42,7.10,33.82,25.91,25.05,4950.29,86.80,19.06,0.51
Azerbaijan,AZE,2012,-7,4.95,6.18,6.86,6.79,7.04,27.09,30.65,4.85,7393.77,86.81,20.44,0.16
Azerbaijan,AZE,2008,-7,4.86,6.40,6.30,6.43,7.03,36.04,26.83,34.50,5574.60,86.81,19.05,0.04
United States,USA,2010,10,6.39,7.14,9.68,7.72,7.88,0.00,0.00,-0.29,48374.06,86.84,93.29,0.75
Hong Kong,HKG,2013,5,9.39,7.95,9.38,9.11,9.03,0.00,0.00,4.81,38364.19,86.88,66.84,0.75
United States,USA,2012,10,6.96,7.02,9.32,7.70,8.06,0.00,0.00,2.53,51456.66,86.91,94.28,0.16
Italy,ITA,2000,10,5.62,7.66,9.47,9.03,6.03,0.00,0.00,1.62,20059.21,86.92,48.81,0.79
Bahrain,BHR,2005,-7,6.48,5.76,8.82,7.65,7.10,0.00,0.00,6.02,18418.07,86.93,22.73,0.38
Latvia,LVA,2013,8,5.83,6.50,9.18,8.03,7.58,0.00,0.00,6.21,15025.81,86.94,66.35,0.10
Ukraine,UKR,2003,6,4.40,4.94,4.73,6.44,6.27,79.09,6.86,9.20,1048.52,86.98,60.49,0.54
Australia,AUS,1995,10,5.68,8.96,9.40,8.10,7.63,0.00,0.00,4.06,20360.18,86.99,70.21,0.50
Bulgaria,BGR,2001,9,5.09,4.85,6.32,7.12,6.01,234.08,44.14,-5.61,1762.46,87.02,43.02,0.64
Croatia,HRV,2003,8,4.93,4.85,7.84,7.11,6.79,0.00,27.18,3.43,7805.88,87.04,39.58,0.15
Jordan,JOR,2008,-3,6.30,6.98,8.35,7.95,8.02,9.26,127.53,8.09,3797.41,87.05,44.30,0.08
Bulgaria,BGR,2005,9,6.30,4.98,8.89,7.22,7.33,198.09,0.00,5.08,3852.98,87.08,44.27,0.50
Ukraine,UKR,2013,6,6.75,4.79,6.47,6.81,6.16,158.06,17.60,5.20,4029.72,87.09,79.00,0.02
Denmark,DNK,1990,10,3.17,8.35,9.46,7.83,7.00,0.00,0.00,-0.14,26861.80,87.18,34.12,0.62
Greece,GRC,2004,10,6.71,5.30,9.64,8.43,6.22,0.00,0.00,3.92,21755.35,87.19,80.21,0.06
Chile,CHL,2013,10,8.00,7.01,9.02,8.11,7.18,0.00,4.47,5.84,15741.71,87.31,78.68,0.85
Norway,NOR,1990,10,2.94,8.35,8.73,8.88,6.08,0.00,0.00,-0.26,28242.94,87.35,38.37,0.80
Bahrain,BHR,2006,-7,6.34,6.48,9.10,7.88,8.53,0.00,0.00,6.98,19669.32,87.38,21.51,0.67
Australia,AUS,2002,10,6.18,8.65,9.21,8.04,8.16,0.00,0.00,3.87,20059.45,87.43,74.02,0.94
Netherlands,NLD,2005,10,4.40,8.36,9.46,8.54,7.89,0.00,0.00,0.28,41577.16,87.45,58.66,0.61
Hungary,HUN,2001,10,5.74,6.74,8.63,8.60,6.81,0.00,41.39,3.24,5266.85,87.46,39.69,0.01
United States,USA,2011,10,6.58,6.96,9.31,7.71,7.94,0.00,0.00,-2.78,49781.36,87.47,95.33,0.52
Netherlands,NLD,2009,10,3.45,8.00,9.50,8.54,7.54,0.00,0.00,3.70,51900.34,87.48,61.79,0.45
Estonia,EST,2002,9,6.04,6.74,9.24,8.83,7.32,0.00,39.45,10.57,5308.35,87.60,62.84,0.96
Bulgaria,BGR,2002,9,5.81,4.68,8.18,6.74,7.04,238.89,41.59,5.01,2079.23,87.62,40.86,0.81
Bulgaria,BGR,2013,9,6.88,4.93,9.43,7.62,7.80,129.49,0.00,1.58,7656.64,87.62,66.49,0.28
Netherlands,NLD,2010,10,3.36,8.10,9.56,8.56,7.42,0.00,0.00,1.70,50341.25,87.80,64.33,0.18
United States,USA,1995,10,6.88,8.76,9.76,8.65,8.33,0.00,0.00,2.75,28782.18,87.82,77.96,0.99
Kuwait,KWT,2006,-7,6.27,7.45,8.44,7.47,7.80,0.00,0.00,10.76,42498.74,87.85,,0.69
Jordan,JOR,2011,-3,7.38,6.47,9.10,7.90,7.98,41.52,158.38,5.48,4665.95,87.91,39.94,0.56
Armenia,ARM,2006,5,7.76,5.62,9.43,7.28,7.20,98.61,71.78,10.47,2126.62,87.94,41.77,0.62
Oman,OMN,2011,-8,4.81,7.50,7.59,8.10,8.05,0.00,0.00,6.11,21164.34,88.03,28.14,0.80
Cyprus,CYP,2000,10,6.19,7.98,6.88,6.42,5.84,0.00,57.67,5.09,14307.35,88.05,19.56,0.74
Netherlands,NLD,2008,10,4.09,8.10,9.52,8.52,7.68,0.00,0.00,3.52,56928.82,88.08,60.86,0.49
Iceland,ISL,2004,10,6.23,8.66,9.08,7.61,8.74,0.00,0.00,0.45,46921.13,88.09,68.39,0.34
United States,USA,2009,10,6.45,7.19,9.60,7.72,7.82,0.00,0.00,1.78,47001.56,88.31,87.73,0.45
Cyprus,CYP,2001,10,6.11,7.98,7.06,6.00,5.79,0.00,51.69,4.69,14723.21,88.31,21.61,0.17
Turkey,TUR,2013,9,6.96,5.28,9.02,6.88,6.47,21.99,36.54,8.77,10975.07,88.34,79.33,0.58
United States,USA,2003,10,7.29,8.06,9.82,8.42,8.49,0.00,0.00,0.98,39677.20,88.36,80.66,0.28
Italy,ITA,2001,10,5.59,7.36,9.55,9.00,5.49,0.00,0.00,1.56,20409.00,88.37,51.89,0.13
Iceland,ISL,2009,10,5.01,8.45,6.55,6.54,6.69,0.00,0.00,9.49,40362.04,88.37,74.46,0.00
Iceland,ISL,2011,10,4.98,8.24,6.77,6.57,7.27,0.00,0.00,-4.68,45970.89,88.39,80.94,0.96
Netherlands,NLD,2007,10,4.11,8.24,9.57,8.64,7.66,0.00,0.00,2.16,51241.32,88.59,60.25,0.00
Denmark,DNK,2000,10,4.23,9.54,9.71,9.42,7.46,0.00,0.00,2.22,30743.56,88.65,57.25,0.53
Latvia,LVA,2009,8,5.33,6.37,8.90,8.13,7.39,0.00,0.00,9.96,12207.59,88.65,76.75,0.68
United States,USA,2006,10,7.13,7.36,9.66,8.08,8.43,0.00,0.00,3.79,46437.07,88.70,81.28,0.56
Iceland,ISL,2012,10,5.07,8.17,6.70,6.77,7.47,0.00,0.00,-3.59,44258.84,88.73,81.36,0.96
Hong Kong,HKG,2012,5,9.38,7.96,9.19,9.36,9.02,0.00,0.00,6.77,36707.77,88.74,60.13,0.28
Netherlands,NLD,2006,10,4.06,8.39,9.46,8.62,7.70,0.00,0.00,2.03,44453.97,88.79,59.66,0.41
Iceland,ISL,2005,10,6.90,9.05,8.75,7.12,8.84,0.00,0.00,2.74,56445.54,88.82,70.36,0.47
Cyprus,CYP,2010,10,7.20,6.88,9.44,8.16,6.74,0.00,0.00,3.62,30438.90,88.83,48.31,0.03
Ireland,IRL,2001,10,5.62,8.42,9.57,9.09,6.87,0.00,0.00,10.76,28212.59,88.83,51.72,0.98
United States,USA,2007,10,7.24,7.45,9.74,8.11,8.54,0.00,0.00,3.35,48061.54,88.89,82.26,0.46
Qatar,QAT,2010,-10,6.40,7.53,7.95,7.76,8.27,0.00,0.00,17.66,70870.23,89.00,10.00,0.63
Hungary,HUN,2002,10,4.52,6.80,9.00,8.39,6.62,0.00,15.90,4.23,6646.24,89.03,44.56,0.81
United States,USA,2005,10,7.13,7.54,9.76,8.06,8.61,0.00,0.00,2.81,44307.92,89.04,81.32,0.31
United States,USA,2008,10,6.88,7.41,9.69,8.00,8.31,0.00,0.00,2.67,48401.43,89.04,84.21,0.65
Netherlands,NLD,2003,10,3.88,8.34,9.56,9.12,7.66,0.00,0.00,2.12,35245.16,89.05,55.87,0.00
Argentina,ARG,2012,8,6.16,4.06,6.58,3.87,6.02,0.00,4.25,9.45,14357.41,89.06,80.31,0.47
Armenia,ARM,2009,5,8.13,5.55,9.44,7.64,6.78,244.31,177.33,13.75,2915.58,89.06,49.12,0.29
Estonia,EST,2013,9,5.92,7.26,8.74,8.10,7.89,0.00,0.00,7.58,19155.42,89.17,78.02,0.04
Netherlands,NLD,2011,10,3.64,8.27,9.54,8.56,7.51,0.00,0.00,-3.77,53537.28,89.19,76.42,0.14
Estonia,EST,2003,9,5.96,7.16,9.61,8.88,7.44,0.00,61.65,6.33,7174.24,89.28,65.28,0.46
United States,USA,2004,10,7.15,8.00,9.73,8.48,8.74,0.00,0.00,1.79,41921.81,89.29,80.74,0.72
Denmark,DNK,2007,10,4.42,9.00,9.36,8.55,8.23,0.00,0.00,2.44,58501.14,89.29,78.58,0.23
Iceland,ISL,2006,10,7.06,8.89,8.62,7.15,8.38,0.00,0.00,8.22,56097.12,89.34,72.66,0.91
Denmark,DNK,2008,10,4.28,8.79,9.37,8.41,8.26,0.00,0.00,3.80,64181.99,89.35,75.68,0.71
Iceland,ISL,2007,10,7.01,8.86,8.16,7.08,8.30,0.00,0.00,5.96,68344.56,89.40,71.77,0.01
Bahrain,BHR,2010,-5,7.04,7.00,8.39,7.98,8.33,0.00,0.00,6.25,20386.02,89.44,,0.59
Denmark,DNK,2006,10,4.39,9.03,9.36,8.51,8.23,0.00,0.00,2.64,52041.00,89.44,79.06,0.58
Iceland,ISL,2008,10,6.12,8.56,7.69,6.87,6.11,0.00,0.00,4.21,55229.61,89.47,74.21,0.59
Netherlands,NLD,2004,10,4.25,8.25,9.54,8.96,7.75,0.00,0.00,0.10,39954.64,89.52,57.01,0.12
Denmark,DNK,2001,10,3.90,9.22,9.73,9.29,7.07,0.00,0.00,2.95,30751.65,89.53,60.03,0.35
Cyprus,CYP,1995,10,6.21,7.16,7.25,5.58,5.84,0.00,25.05,0.70,15233.34,89.55,17.02,0.63
Iceland,ISL,2010,10,4.83,8.33,5.92,6.44,6.60,0.00,0.00,1.48,41620.07,89.64,78.47,0.35
