Country,Code,Year,dummy,Law Prop.Rights,Sound Money,polity,prev Law,prev Money,prev polity,prev GDP,GDP per capita in USD
"Congo, Rep. Of",COG,2013,,2.78,4.97,-4,2.78,4.74,-4,3191.16,3205.46
"Congo, Rep. Of",COG,2012,,2.78,4.74,-4,2.6,4.59,-4,3453.22,3191.16
Morocco,MAR,2013,,6.11,7.26,-4,6,7.14,-4,2931.4,3156.18
Tunisia,TUN,2004,,6.49,7.26,-4,6.59,7.28,-4,2790,3139.54
Egypt,EGY,2013,,4.23,8.92,-4,4.04,9.22,-88,3068.19,3104.22
"Congo, Rep. Of",COG,2008,,2.85,4.93,-4,2.78,5.34,-4,2259.27,3094.11
Morocco,MAR,2011,,6.03,7.17,-4,5.97,7.07,-6,2857.67,3066.5
"Congo, Rep. Of",COG,2010,,2.78,4.69,-4,4.22,4.73,-4,2428.26,2953.19
Morocco,MAR,2012,,6,7.14,-4,6.03,7.17,-4,3066.5,2931.4
Tunisia,TUN,2003,,6.59,7.28,-4,6.54,7.18,-4,2373.84,2790
"Congo, Rep. Of",COG,2009,,4.22,4.73,-4,2.85,4.93,-4,3094.11,2428.26
Tunisia,TUN,2002,,6.54,7.18,-4,6.95,7.13,-3,2286.5,2373.84
"Congo, Rep. Of",COG,2007,,2.78,5.34,-4,2.43,5.71,-4,2144.83,2259.27
"Congo, Rep. Of",COG,2006,,2.43,5.71,-4,2.35,5.33,-4,1737.61,2144.83
Brazil,BRA,1980,,5.86,1.66,-4,5.4,4,-4,1140.9,1923.28
"Congo, Rep. Of",COG,2005,,2.35,5.33,-4,2.45,4.86,-4,1362.2,1737.61
Kazakhstan,KAZ,2001,,3.84,3.83,-4,4.45,3.66,-4,1229,1490.93
"Congo, Rep. Of",COG,2004,,2.45,4.86,-4,2.45,4.76,-4,1049.32,1362.2
Cameroon,CMR,2013,,4.06,6.97,-4,3.91,6.97,-4,1222.19,1331.2
Jordan,JOR,1990,,3.99,6.2,-4,3.52,7.74,-9,1888.62,1312.28
Kazakhstan,KAZ,1995,,3.43,1.25,-4,1,5.95,0,1647.46,1288.24
Cameroon,CMR,2011,,3.88,6.78,-4,4,6.74,-4,1147.24,1258.92
Kazakhstan,KAZ,2000,,4.45,3.66,-4,3.43,1.25,-4,1288.24,1229
Cameroon,CMR,2012,,3.91,6.97,-4,3.88,6.78,-4,1258.92,1222.19
Cameroon,CMR,2008,,3.81,6.74,-4,3.96,7.02,-4,1070.95,1191.71
Cameroon,CMR,2009,,3.97,6.6,-4,3.81,6.74,-4,1191.71,1164.72
Cameroon,CMR,2010,,4,6.74,-4,3.97,6.6,-4,1164.72,1147.24
Brazil,BRA,1975,,5.4,4,-4,6.16,5.99,-9,440.99,1140.9
Cameroon,CMR,2007,,3.96,7.02,-4,3.86,7.04,-4,965.37,1070.95
"Congo, Rep. Of",COG,2003,,2.45,4.76,-4,2.05,4.23,-4,927.27,1049.32
Cameroon,CMR,2006,,3.86,7.04,-4,3.53,7.21,-4,915.09,965.37
"Congo, Rep. Of",COG,2002,,2.05,4.23,-4,1.73,4.7,-5,877.63,927.27
Cameroon,CMR,2005,,3.53,7.21,-4,3.54,7.29,-4,892.9,915.09
Cameroon,CMR,2004,,3.54,7.29,-4,3.79,7.17,-4,791.11,892.9
Cameroon,CMR,2003,,3.79,7.17,-4,3.83,6.88,-4,648.4,791.11
Rwanda,RWA,2012,,6.98,8.9,-4,6.79,9.03,-4,606.9,667.41
Cameroon,CMR,2002,,3.83,6.88,-4,4.59,6.78,-4,589.2,648.4
Cameroon,CMR,1995,,5.04,5.92,-4,5.79,7.01,-8,923.88,626.96
Rwanda,RWA,2011,,6.79,9.03,-4,6.72,8.95,-4,553.6,606.9
Cameroon,CMR,2001,,4.59,6.78,-4,4.59,6.6,-4,583.09,589.2
Cameroon,CMR,2000,,4.59,6.6,-4,5.04,5.92,-4,626.96,583.09
Rwanda,RWA,2010,,6.72,8.95,-4,6.76,7.51,-3,529.6,553.6
Zimbabwe,ZWE,2001,,2.59,1.7,-4,5.02,2.89,-3,535.2,537.72
Togo,TGO,2008,,2.61,6.42,-4,2.53,6.83,-4,428.4,522.63
Togo,TGO,2009,,2.57,6.63,-4,2.61,6.42,-4,522.63,508.54
Zimbabwe,ZWE,2002,,3.21,1.25,-4,2.59,1.7,-4,537.72,499.72
Zimbabwe,ZWE,2004,,3.64,0,-4,3.41,1.25,-4,448.37,451.17
Zimbabwe,ZWE,2003,,3.41,1.25,-4,3.21,1.25,-4,499.72,448.37
Zimbabwe,ZWE,2005,,3.49,0,-4,3.64,0,-4,451.17,443.24
Togo,TGO,2007,,2.53,6.83,-4,3.36,6.9,-4,384.29,428.4
Zimbabwe,ZWE,2006,,3.57,0,-4,3.49,0,-4,443.24,414.68
Zimbabwe,ZWE,2007,,3.47,0,-4,3.57,0,-4,414.68,397.96
Togo,TGO,2006,,3.36,6.9,-4,2.48,6.88,-4,379.18,384.29
Togo,TGO,2005,,2.48,6.88,-4,2.8,7.07,-2,356.83,379.18
Pakistan,PAK,1985,,3.52,6.78,-4,2.54,6.39,-7,303.43,337.93
Zimbabwe,ZWE,2008,,3.81,2.39,-4,3.47,0,-4,397.96,327.2
Uganda,UGA,2004,,4.54,9.05,-4,4.73,8.76,-4,241.69,292.84
Uganda,UGA,1995,,4.45,4.62,-4,2.44,0.28,-7,247.6,281.97
Uganda,UGA,2000,,4.8,9.3,-4,4.45,4.62,-4,281.97,260.68
Uganda,UGA,2002,,4.23,9.2,-4,4.8,9.33,-4,238.05,243.67
Uganda,UGA,2003,,4.73,8.76,-4,4.23,9.2,-4,243.67,241.69
Uganda,UGA,2001,,4.8,9.33,-4,4.8,9.3,-4,260.68,238.05
Chad,TCD,1995,,4.54,5.16,-4,4.42,5.68,-7,291.81,206.51
Rwanda,RWA,2001,,1.16,7.74,-4,1.71,3.17,-6,218.77,201.06
Rwanda,RWA,2002,,1.49,8.18,-4,1.16,7.74,-4,201.06,196.44
Venezuela,VEN,2010,,2.48,4.72,-3,2.5,5.51,-3,11534.84,13581.35
Venezuela,VEN,2012,,2.2,4.73,-3,2.46,4.71,-3,10754.59,12771.6
Venezuela,VEN,2009,,2.5,5.51,-3,2.71,5.3,5,11224.65,11534.84
Venezuela,VEN,2011,,2.46,4.71,-3,2.48,4.72,-3,13581.35,10754.59
Jordan,JOR,2013,,6.32,9.38,-3,6.54,9.22,-3,4896.69,5200.29
Jordan,JOR,2012,,6.54,9.22,-3,6.47,9.1,-3,4665.95,4896.69
Jordan,JOR,2011,,6.47,9.1,-3,6.47,9.12,-3,4370.72,4665.95
Jordan,JOR,2010,,6.47,9.12,-3,6.69,9.23,-3,4026.77,4370.72
Jordan,JOR,2009,,6.69,9.23,-3,6.98,8.35,-3,3797.41,4026.77
Jordan,JOR,2008,,6.98,8.35,-3,6.95,9.19,-3,3022.54,3797.41
Fiji,FJI,2006,,6.22,6.56,-3,6.34,6.56,6,3658.62,3750.03
Jordan,JOR,2007,,6.95,9.19,-3,6.84,8.94,-2,2719.82,3022.54
Mexico,MEX,1980,,6.29,7.7,-3,4.09,8.13,-6,1445.71,2803.32
Egypt,EGY,2010,,5.24,8.81,-3,5.43,8.66,-3,2349.29,2668.04
Mexico,MEX,1985,,5.38,3.67,-3,6.29,7.7,-3,2803.32,2385.76
Egypt,EGY,2009,,5.43,8.66,-3,5.66,8.26,-3,2061.61,2349.29
Tunisia,TUN,2001,,6.95,7.13,-3,7.33,7.05,-3,2247.91,2286.5
Tunisia,TUN,2000,,7.33,7.05,-3,6.29,7.02,-3,2012.94,2247.91
Algeria,DZA,2003,,3.49,7.18,-3,2.98,7.08,-3,1774.29,2094.89
Egypt,EGY,2008,,5.66,8.26,-3,6.13,8.68,-3,1681.31,2061.61
Tunisia,TUN,1995,,6.29,7.02,-3,3.5,6.98,-5,1507.23,2012.94
Algeria,DZA,2002,,2.98,7.08,-3,2.39,6.89,-3,1732.96,1774.29
Algeria,DZA,2000,,2.39,7,-3,3.52,5.37,-3,1444.91,1757.01
Algeria,DZA,2001,,2.39,6.89,-3,2.39,7,-3,1757.01,1732.96
Egypt,EGY,2007,,6.13,8.68,-3,5.79,8.74,-3,1409.18,1681.31
Algeria,DZA,1995,,3.52,5.37,-3,3.5,4.5,-2,2394.42,1444.91
Egypt,EGY,2006,,5.79,8.74,-3,5.47,8.85,-3,1196.73,1409.18
Egypt,EGY,2005,,5.47,8.85,-3,4.21,8.65,-6,1071.32,1196.73
Myanmar,MMR,2013,,3.29,6.37,-3,3.27,6.46,-3,1421.5,1106.98
Tajikistan,TJK,2013,,5.13,9.26,-3,6.68,8.74,-3,962.44,1048.66
Tajikistan,TJK,2012,,6.68,8.74,-3,5.43,7.88,-3,841.22,962.44
Mauritania,MRT,2006,,5.63,7.09,-3,5.56,7.36,-5,692.58,937.98
Tajikistan,TJK,2011,,5.43,7.88,-3,5.39,7.51,-3,744.19,841.22
Tajikistan,TJK,2010,,5.39,7.51,-3,5.42,8.3,-3,671.54,744.19
Tajikistan,TJK,2008,,5.54,8.43,-3,5.59,8.34,-3,523.95,711.5
Rwanda,RWA,2013,,6.94,8.97,-3,6.98,8.9,-4,667.41,679
Tajikistan,TJK,2009,,5.42,8.3,-3,5.54,8.43,-3,711.5,671.54
Zimbabwe,ZWE,2000,,5.02,2.89,-3,5.53,4.92,-6,608.68,535.2
Rwanda,RWA,2009,,6.76,7.51,-3,5.78,7.29,-3,491.94,529.6
Tajikistan,TJK,2007,,5.59,8.34,-3,5.73,6.94,-3,407.25,523.95
Ethiopia,ETH,2013,,4.97,5.15,-3,5.19,4.67,-3,469.79,503.9
Rwanda,RWA,2008,,5.78,7.29,-3,4.59,7.83,-3,398.21,491.94
Ethiopia,ETH,2012,,5.19,4.67,-3,5.42,3.29,-3,355.59,469.79
Kyrgyz Republic,KGZ,2004,,5.39,6.01,-3,5.71,4.29,-3,380.51,433.24
Tajikistan,TJK,2006,,5.73,6.94,-3,5.21,6.69,-3,339.77,407.25
Rwanda,RWA,2007,,4.59,7.83,-3,4.6,7.57,-3,336.94,398.21
Kyrgyz Republic,KGZ,2003,,5.71,4.29,-3,4.95,4.08,-3,321.73,380.51
Ethiopia,ETH,2009,,5.47,5.77,-3,5.17,3.87,-3,325.79,380.26
Kyrgyz Republic,KGZ,1995,,3.43,1.25,-3,1,5.95,0,608.95,364.23
Ethiopia,ETH,2011,,5.42,3.29,-3,5.44,5.39,-3,341.86,355.59
Niger,NER,2009,,4.24,6.5,-3,4.18,6.2,6,358.19,344.38
Ethiopia,ETH,2010,,5.44,5.39,-3,5.47,5.77,-3,380.26,341.86
Tajikistan,TJK,2005,,5.21,6.69,-3,5.39,6.01,-3,311.42,339.77
Rwanda,RWA,2006,,4.6,7.57,-3,3.02,7.75,-3,286.57,336.94
Ethiopia,ETH,2008,,5.17,3.87,-3,5.16,5.75,-3,243.63,325.79
Kyrgyz Republic,KGZ,2002,,4.95,4.08,-3,3.84,3.83,-3,308.41,321.73
Tajikistan,TJK,2004,,5.39,6.01,-3,5.71,4.29,-3,237.89,311.42
Kyrgyz Republic,KGZ,2001,,3.84,3.83,-3,4.45,3.66,-3,279.62,308.41
Rwanda,RWA,2005,,3.02,7.75,-3,1.82,7.3,-3,236.63,286.57
Kyrgyz Republic,KGZ,2000,,4.45,3.66,-3,3.43,1.25,-3,364.23,279.62
Ethiopia,ETH,2007,,5.16,5.75,-3,5.08,5.76,-3,194.08,243.63
Tajikistan,TJK,2003,,5.71,4.29,-3,4.95,4.08,-1,190.6,237.89
Rwanda,RWA,2004,,1.82,7.3,-3,1.65,7.23,-3,212.51,236.63
Rwanda,RWA,2003,,1.65,7.23,-3,1.49,8.18,-4,196.44,212.51
Ethiopia,ETH,2006,,5.08,5.76,-3,4.7,5.67,-3,161.88,194.08
Singapore,SGP,2013,,8.25,9.24,-2,8.35,9.03,-2,54577.14,55979.76
Singapore,SGP,2012,,8.35,9.03,-2,8.38,8.88,-2,53121.23,54577.14
Singapore,SGP,2011,,8.38,8.88,-2,8.38,8.91,-2,46569.97,53121.23
Singapore,SGP,2010,,8.38,8.91,-2,8.39,9.16,-2,38577.35,46569.97
Singapore,SGP,2008,,8.5,9.1,-2,8.61,9.35,-2,39223.57,39721.02
Singapore,SGP,2007,,8.61,9.35,-2,8.56,9.53,-2,33579.59,39223.57
Singapore,SGP,2009,,8.39,9.16,-2,8.5,9.1,-2,39721.02,38577.35
Singapore,SGP,2006,,8.56,9.53,-2,8.49,9.71,-2,29869.59,33579.59
Singapore,SGP,2005,,8.49,9.71,-2,8.26,9.56,-2,27405.03,29869.59
Singapore,SGP,2004,,8.26,9.56,-2,8.37,9.65,-2,23573.78,27405.03
Singapore,SGP,1995,,8.31,9.69,-2,7.25,9.34,-2,11864.66,24936.87
Singapore,SGP,2000,,8.53,9.46,-2,8.31,9.69,-2,24936.87,23792.53
Singapore,SGP,2003,,8.37,9.65,-2,8.61,9.65,-2,22016.57,23573.78
Singapore,SGP,2002,,8.61,9.65,-2,8.5,9.6,-2,21577.14,22016.57
Singapore,SGP,2001,,8.5,9.6,-2,8.53,9.46,-2,23792.53,21577.14
Singapore,SGP,1990,,7.25,9.34,-2,7.25,8.29,-2,6995.05,11864.66
Singapore,SGP,1985,,7.25,8.29,-2,8.13,6.51,-2,4927.14,6995.05
Angola,AGO,2013,,3.21,6.72,-2,3.37,6.56,-2,5531.78,5900.53
Angola,AGO,2012,,3.37,6.56,-2,3.65,5.67,-2,5053.74,5531.78
Angola,AGO,2011,,3.65,5.67,-2,3.74,5.57,-2,3928.82,5053.74
Singapore,SGP,1980,,8.13,6.51,-2,6.6,6.64,-2,2489.82,4927.14
Angola,AGO,2008,,3.34,5.03,-2,3.17,4.45,-2,3402.15,4462.13
Angola,AGO,2010,,3.74,5.57,-2,3.69,5.24,-2,3565.18,3928.82
Angola,AGO,2009,,3.69,5.24,-2,3.34,5.03,-2,4462.13,3565.18
Angola,AGO,2007,,3.17,4.45,-2,3.16,4.06,-2,2825.07,3402.15
Angola,AGO,2006,,3.16,4.06,-2,3.15,1.26,-2,2063.92,2825.07
Egypt,EGY,2011,,4.55,9.07,-2,5.24,8.81,-3,2668.04,2816.67
Jordan,JOR,2006,,6.84,8.94,-2,6.79,9.21,-2,2326.5,2719.82
Singapore,SGP,1975,,6.6,6.64,-2,7.72,7.32,-2,925.28,2489.82
Jordan,JOR,2005,,6.79,9.21,-2,6.06,9.4,-2,2156.44,2326.5
Jordan,JOR,2004,,6.06,9.4,-2,6.1,9.48,-2,1973.86,2156.44
Jordan,JOR,2003,,6.1,9.48,-2,6.34,9.47,-2,1901.58,1973.86
Jordan,JOR,2002,,6.34,9.47,-2,6.07,9.57,-2,1824.89,1901.58
Jordan,JOR,2001,,6.07,9.57,-2,7.22,9.67,-2,1763.17,1824.89
Jordan,JOR,2000,,7.22,9.67,-2,5.95,7.15,-2,1603.68,1763.17
Jordan,JOR,1995,,5.95,7.15,-2,3.99,6.2,-4,1312.28,1603.68
Mauritania,MRT,2011,,4.78,6.76,-2,4.6,6.49,-2,1207.83,1390.93
Mauritania,MRT,2013,,4.23,6.88,-2,4.49,6.85,-2,1282.79,1306.01
Mauritania,MRT,2012,,4.49,6.85,-2,4.78,6.76,-2,1390.93,1282.79
"Yemen, Rep.",YEM,2011,,4.04,7.74,-2,4.21,7.75,-2,1310.05,1282.4
Mauritania,MRT,2010,,4.6,6.49,-2,4.58,6.71,-2,1045.79,1207.83
Mauritania,MRT,2009,,4.58,6.71,-2,4.82,6.92,-5,1180.55,1045.79
Chad,TCD,2011,,2.85,6.11,-2,3.08,6.3,-2,895.88,988.44
Chad,TCD,2013,,2.81,6.17,-2,2.72,5.6,-2,972.68,985.1
Chad,TCD,2012,,2.72,5.6,-2,2.85,6.11,-2,988.44,972.68
Chad,TCD,2008,,2.46,5.9,-2,2.24,5.92,-2,801.4,929.28
Chad,TCD,2010,,3.08,6.3,-2,2.96,5.66,-2,803.91,895.88
Chad,TCD,2009,,2.96,5.66,-2,2.46,5.9,-2,929.28,803.91
Chad,TCD,2007,,2.24,5.92,-2,2.34,6.12,-2,712.05,801.4
Chad,TCD,2006,,2.34,6.12,-2,2.19,6.03,-2,660.18,712.05
Chad,TCD,2005,,2.19,6.03,-2,2.6,6.59,-2,454.66,660.18
Togo,TGO,2013,,2.78,7.03,-2,2.67,6.77,-2,580.5,626.17
Togo,TGO,2012,,2.67,6.77,-2,2.79,6.58,-2,572.03,580.5
Togo,TGO,2011,,2.79,6.58,-2,2.55,6.69,-2,496.48,572.03
Togo,TGO,2010,,2.55,6.69,-2,2.57,6.63,-4,508.54,496.48
Chad,TCD,2004,,2.6,6.59,-2,2.67,6.36,-2,292.58,454.66
Kenya,KEN,2000,,3.92,8.76,-2,3.63,6.81,-5,330.48,408.98
Kenya,KEN,2001,,3.92,8.95,-2,3.92,8.76,-2,408.98,407.55
Haiti,HTI,2002,,2.23,8.49,-2,1.95,8.54,-2,413.74,393.02
Togo,TGO,2004,,2.8,7.07,-2,2.8,7.02,-2,316.79,356.83
Haiti,HTI,2003,,2.49,6.87,-2,2.23,8.49,-2,393.02,329.78
Togo,TGO,2003,,2.8,7.02,-2,3.48,7.02,-2,286.76,316.79
Chad,TCD,2003,,2.67,6.36,-2,2.33,6.19,-2,220.8,292.58
Togo,TGO,2002,,3.48,7.02,-2,3.59,6.55,-2,266.13,286.76
Togo,TGO,2001,,3.59,6.55,-2,4.48,6.95,-7,430.01,266.13
Chad,TCD,2002,,2.33,6.19,-2,4.25,6.05,-2,197.3,220.8
Chad,TCD,2001,,4.25,6.05,-2,4.25,6.64,-2,166.01,197.3
Chad,TCD,2000,,4.25,6.64,-2,4.54,5.16,-4,206.51,166.01
Thailand,THA,2007,,6.13,7.04,-1,6.26,6.61,-5,3351.12,3962.75
Tanzania,TZA,2013,,5.49,7.72,-1,5.62,7.29,-1,827.53,910.38
Tanzania,TZA,2012,,5.62,7.29,-1,5.73,7.42,-1,740.38,827.53
Senegal,SEN,1990,,3.99,6.93,-1,3.99,6.76,-1,460.11,760.78
Tanzania,TZA,2011,,5.73,7.42,-1,5.73,7.71,-1,708.52,740.38
Tanzania,TZA,2010,,5.73,7.71,-1,5.78,7.53,-1,665.34,708.52
Uganda,UGA,2013,,4.7,8.51,-1,4.71,8.05,-1,656.4,674.34
Tanzania,TZA,2009,,5.78,7.53,-1,5.94,7.4,-1,657.73,665.34
Tanzania,TZA,2008,,5.94,7.4,-1,5.87,7.61,-1,533.17,657.73
Uganda,UGA,2012,,4.71,8.05,-1,4.96,8.08,-1,591.44,656.4
Uganda,UGA,2010,,5.05,8.71,-1,4.86,8.4,-1,557.52,608.81
Uganda,UGA,2011,,4.96,8.08,-1,5.05,8.71,-1,608.81,591.44
Senegal,SEN,1995,,3.13,5.8,-1,3.99,6.93,-1,760.78,560.08
Uganda,UGA,2009,,4.86,8.4,-1,4.68,8.79,-1,459.11,557.52
Tanzania,TZA,2007,,5.87,7.61,-1,5.84,7.76,-1,475.91,533.17
Central Afr. Rep.,CAF,2011,,2.61,6.76,-1,2.34,6.95,-1,446.8,484.58
Tanzania,TZA,2006,,5.84,7.76,-1,5.65,7.57,-1,446.16,475.91
Central Afr. Rep.,CAF,2012,,2.44,6.7,-1,2.61,6.76,-1,484.58,469.68
Central Afr. Rep.,CAF,2008,,2.17,6.63,-1,2.15,7,-1,404.11,463.83
Senegal,SEN,1985,,3.99,6.76,-1,3.41,6.36,-2,629.11,460.11
Uganda,UGA,2008,,4.68,8.79,-1,4.7,9.17,-1,409.87,459.11
Central Afr. Rep.,CAF,2009,,2.05,7.05,-1,2.17,6.63,-1,463.83,454.37
Central Afr. Rep.,CAF,2010,,2.34,6.95,-1,2.05,7.05,-1,454.37,446.8
Tanzania,TZA,2005,,5.65,7.57,-1,5.97,8.21,-1,348.05,446.16
Uganda,UGA,2007,,4.7,9.17,-1,4.62,8.8,-1,342.84,409.87
Central Afr. Rep.,CAF,2007,,2.15,7,-1,2.12,7.04,-1,353.89,404.11
Ghana,GHA,1995,,6.18,4.13,-1,5.79,4.58,-7,402.59,385.73
Guinea-Bissau,GNB,2004,,3,6.69,-1,2.22,6.6,-1,339.86,370.93
Central Afr. Rep.,CAF,2006,,2.12,7.04,-1,2.81,7.04,-1,332.95,353.89
Tanzania,TZA,2004,,5.97,8.21,-1,5.53,7.97,-1,325.55,348.05
Uganda,UGA,2006,,4.62,8.8,-1,4.67,8.7,-1,321.44,342.84
Guinea-Bissau,GNB,2003,,2.22,6.6,-1,2.08,5.77,5,303.01,339.86
Central Afr. Rep.,CAF,2005,,2.81,7.04,-1,3.16,7.1,-1,318.48,332.95
Tanzania,TZA,2003,,5.53,7.97,-1,5.91,7.95,-1,310.21,325.55
Uganda,UGA,2005,,4.67,8.7,-1,4.54,9.05,-4,292.84,321.44
Central Afr. Rep.,CAF,2004,,3.16,7.1,-1,3.16,7,-1,290.51,318.48
Tanzania,TZA,2002,,5.91,7.95,-1,6.95,7.64,-1,306.24,310.21
Tanzania,TZA,2000,,6.95,7.59,-1,5.92,5.02,-1,180.81,308.41
Tanzania,TZA,2001,,6.95,7.64,-1,6.95,7.59,-1,308.41,306.24
Central Afr. Rep.,CAF,2003,,3.16,7,-1,2.3,7.23,5,256.85,290.51
Tajikistan,TJK,2002,,4.95,4.08,-1,3.84,3.83,-1,171.81,190.6
Tanzania,TZA,1995,,5.92,5.02,-1,5.21,4.58,-6,172.05,180.81
Tajikistan,TJK,2001,,3.84,3.83,-1,4.45,3.66,-1,139.11,171.81
Tajikistan,TJK,2000,,4.45,3.66,-1,3.43,1.25,-6,212.91,139.11
Burundi,BDI,2000,,2.93,6.19,-1,4.59,5.83,-77,160.35,128.64
Luxembourg,LUX,2013,,8.29,9.19,0,8.21,9.26,0,105447.09,113726.64
Luxembourg,LUX,2011,,8.25,9.37,0,8.29,9.35,0,103267.28,113239.56
Luxembourg,LUX,2008,,8.47,9.43,0,8.33,9.49,0,104841.44,112851.46
Luxembourg,LUX,2012,,8.21,9.26,0,8.25,9.37,0,113239.56,105447.09
Luxembourg,LUX,2007,,8.33,9.49,0,8.1,9.41,0,88680.24,104841.44
Luxembourg,LUX,2010,,8.29,9.35,0,8.31,9.55,0,101221.81,103267.28
Luxembourg,LUX,2009,,8.31,9.55,0,8.47,9.43,0,112851.46,101221.81
Luxembourg,LUX,2006,,8.1,9.41,0,8.09,9.47,0,79494.21,88680.24
Luxembourg,LUX,2005,,8.09,9.47,0,8.66,9.56,0,74970.92,79494.21
Luxembourg,LUX,2004,,8.66,9.56,0,8.87,9.58,0,64669.94,74970.92
Iceland,ISL,2007,,8.86,8.16,0,8.89,8.62,0,56097.12,68344.56
Luxembourg,LUX,2003,,8.87,9.58,0,8.4,9.66,0,52240.9,64669.94
Iceland,ISL,2005,,9.05,8.75,0,8.66,9.08,0,46921.13,56445.54
Iceland,ISL,2006,,8.89,8.62,0,9.05,8.75,0,56445.54,56097.12
Iceland,ISL,2008,,8.56,7.69,0,8.86,8.16,0,68344.56,55229.61
Luxembourg,LUX,1995,,9.09,9.73,0,8.35,9.53,0,34990.46,53357.84
Luxembourg,LUX,2002,,8.4,9.66,0,8.62,9.66,0,47680.38,52240.9
Luxembourg,LUX,2000,,8.62,9.75,0,9.09,9.73,0,53357.84,48992.31
Luxembourg,LUX,2001,,8.62,9.66,0,8.62,9.75,0,48992.31,47680.38
Iceland,ISL,2013,,8.15,6.89,0,8.17,6.7,0,44258.84,47493.25
Iceland,ISL,2004,,8.66,9.08,0,8.86,9.28,0,39019.69,46921.13
Iceland,ISL,2011,,8.24,6.77,0,8.33,5.92,0,41620.07,45970.89
Iceland,ISL,2012,,8.17,6.7,0,8.24,6.77,0,45970.89,44258.84
Brunei Darussalam,BRN,2012,,6.6,8.17,0,6.55,8.18,0,41787.02,41807.65
Brunei Darussalam,BRN,2011,,6.55,8.18,0,6.52,8.31,0,31453.22,41787.02
Iceland,ISL,2010,,8.33,5.92,0,8.45,6.55,0,40362.04,41620.07
Iceland,ISL,2009,,8.45,6.55,0,8.56,7.69,0,55229.61,40362.04
Brunei Darussalam,BRN,2013,,6.6,8.18,0,6.6,8.17,0,41807.65,39151.23
Iceland,ISL,2003,,8.86,9.28,0,8.97,9.3,0,31864.58,39019.69
Hong Kong,HKG,2013,,7.95,9.38,0,7.96,9.19,0,36707.77,38364.19
Hong Kong,HKG,2012,,7.96,9.19,0,8.05,9.21,0,35142.49,36707.77
Hong Kong,HKG,2011,,8.05,9.21,0,8.18,9.31,0,32550,35142.49
Luxembourg,LUX,1990,,8.35,9.53,0,8.35,9.58,0,13050.76,34990.46
Hong Kong,HKG,2010,,8.18,9.31,0,8.36,9.28,0,30697.34,32550
Iceland,ISL,2002,,8.97,9.3,0,8.87,9.22,0,28516.05,31864.58
Iceland,ISL,2000,,9.03,9.18,0,8.3,9.45,0,26851.02,31737.47
Hong Kong,HKG,2008,,8.28,9.54,0,8.31,9.51,0,30594.02,31515.66
Hong Kong,HKG,2009,,8.36,9.28,0,8.28,9.54,0,31515.66,30697.34
Hong Kong,HKG,2007,,8.31,9.51,0,8.31,9.36,0,28224.22,30594.02
Iceland,ISL,2001,,8.87,9.22,0,9.03,9.18,0,31737.47,28516.05
Hong Kong,HKG,2006,,8.31,9.36,0,8.2,9.48,0,26649.75,28224.22
Iceland,ISL,1995,,8.3,9.45,0,8.35,7.08,0,25592.15,26851.02
Hong Kong,HKG,2005,,8.2,9.48,0,7.48,9.21,0,24928.1,26649.75
Hong Kong,HKG,2000,,7.23,9.11,0,8.17,9.44,0,23497.49,25756.66
Iceland,ISL,1990,,8.35,7.08,0,7.88,2.84,0,12462.1,25592.15
Hong Kong,HKG,2001,,7.02,9.38,0,7.23,9.11,0,25756.66,25230.22
Hong Kong,HKG,2004,,7.48,9.21,0,7.46,9.23,0,23977.02,24928.1
Hong Kong,HKG,2002,,7.36,9.31,0,7.02,9.38,0,25230.22,24665.89
Bahamas,BHS,2007,,7.11,6.74,0,6.81,6.66,0,23721.16,24306.14
Hong Kong,HKG,2003,,7.46,9.23,0,7.36,9.31,0,24665.89,23977.02
Bahamas,BHS,2006,,6.81,6.66,0,8.47,6.82,0,23405.88,23721.16
Bahamas,BHS,2008,,7.13,6.82,0,7.11,6.74,0,24306.14,23657.37
Hong Kong,HKG,1995,,8.17,9.44,0,5.94,9.02,0,13485.54,23497.49
Bahamas,BHS,2005,,8.47,6.82,0,8.33,7.21,0,21995.52,23405.88
Malta,MLT,2013,,7.04,9.52,0,7.19,9.47,0,21176.31,22776.19
Bahamas,BHS,2002,,6.96,7.2,0,6.35,6.99,0,21497.31,22505.4
Malta,MLT,2011,,7.18,9.5,0,7.52,9.54,0,19694.08,22347.71
Bahamas,BHS,2013,,6.66,7.12,0,6.66,7.08,0,22112.61,22315.6
Bahamas,BHS,2012,,6.66,7.08,0,6.61,7.11,0,21514.9,22112.61
Bahamas,BHS,2009,,6.99,7.07,0,7.13,6.82,0,23657.37,22043.01
Bahamas,BHS,2003,,8.16,7.2,0,6.96,7.2,0,22505.4,22008.43
Bahamas,BHS,2004,,8.33,7.21,0,8.16,7.2,0,22008.43,21995.52
Bahamas,BHS,2010,,6.57,7.3,0,6.99,7.07,0,22043.01,21920.52
Bahamas,BHS,2011,,6.61,7.11,0,6.57,7.3,0,21920.52,21514.9
Bahamas,BHS,2001,,6.35,6.99,0,6.35,6.87,0,21241.17,21497.31
Bahamas,BHS,2000,,6.35,6.87,0,5.19,7.05,0,12239.83,21241.17
Malta,MLT,2012,,7.19,9.47,0,7.18,9.5,0,22347.71,21176.31
Malta,MLT,2008,,7.68,9.46,0,7.9,9.58,0,18356.97,20895.78
Malta,MLT,2010,,7.52,9.54,0,7.61,9.46,0,19636.01,19694.08
